date,i_m1sum,i_temp3
2022-01-03 02:00:00,-0.6549058279375669,392.0
2022-01-03 02:15:00,-0.6549058279375669,391.0
2022-01-03 02:30:00,-0.6549058279375669,391.0
2022-01-03 02:45:00,-0.6549058279375669,391.0
2022-01-03 03:00:00,-0.6549058279375669,390.0
2022-01-03 03:15:00,-0.6549058279375669,390.0
2022-01-03 03:30:00,-0.6549058279375669,390.0
2022-01-03 03:45:00,-0.6549058279375669,390.0
2022-01-03 04:00:00,-0.6549058279375669,389.0
2022-01-03 04:15:00,-0.6549058279375669,389.0
2022-01-03 04:30:00,-0.6549058279375669,388.0
2022-01-03 04:45:00,-0.6549058279375669,388.0
2022-01-03 05:00:00,-0.6549058279375669,388.0
2022-01-03 05:15:00,-0.6549058279375669,387.0
2022-01-03 05:30:00,-0.6549058279375669,386.0
2022-01-03 05:45:00,-0.6549058279375669,386.0
2022-01-03 06:00:00,-0.6549058279375669,386.0
2022-01-03 06:15:00,-0.6549058279375669,386.0
2022-01-03 06:30:00,-0.6549058279375669,385.0
2022-01-03 06:45:00,-0.6549058279375669,385.0
2022-01-03 07:00:00,-0.6549058279375669,385.0
2022-01-03 07:15:00,-0.6549058279375669,385.0
2022-01-03 07:30:00,-0.6499524668910139,385.0
2022-01-03 07:45:00,-0.549234125611105,384.0
2022-01-03 08:00:00,-0.5294206814248934,384.0
2022-01-03 08:15:00,-0.5112583575875328,384.0
2022-01-03 08:30:00,-0.4452135436334941,383.0
2022-01-03 08:45:00,-0.400633294214518,383.0
2022-01-03 09:00:00,-0.4303534604938354,382.0
2022-01-03 09:15:00,-0.42540009944728246,382.0
2022-01-03 09:30:00,-0.23221901863171934,382.0
2022-01-03 09:45:00,-0.19754549130584903,381.0
2022-01-03 10:00:00,-0.35605304479554184,380.0
2022-01-03 10:15:00,-0.37091312793520054,275.0
2022-01-03 10:30:00,-0.37586648898175345,219.0
2022-01-03 10:45:00,-0.34944856340013797,219.0
2022-01-03 11:00:00,-0.07040922444432457,220.0
2022-01-03 11:15:00,-0.33789072095818123,221.0
2022-01-03 11:30:00,-0.3395418413070322,222.0
2022-01-03 11:45:00,-0.26193918491103674,222.0
2022-01-03 12:00:00,-0.18598764886389227,223.0
2022-01-03 12:15:00,-0.14636076049146907,223.0
2022-01-03 12:30:00,-0.14966300118917097,223.0
2022-01-03 12:45:00,-0.21075445409665677,223.0
2022-01-03 13:00:00,-0.29991495293460896,224.0
2022-01-03 13:15:00,-0.3841220907260083,225.0
2022-01-03 13:30:00,-0.44686466398234503,225.0
2022-01-03 13:45:00,-0.4798870709593644,225.0
2022-01-03 14:00:00,-0.5063049965409798,225.0
2022-01-03 14:15:00,-0.5145605982852347,226.0
2022-01-03 14:30:00,-0.5360251628202972,226.0
2022-01-03 14:45:00,-0.5706986901461676,226.0
2022-01-03 15:00:00,-0.6218834209605475,227.0
2022-01-03 15:15:00,-0.6449991058444611,227.0
2022-01-03 15:30:00,-0.6516035872398649,228.0
2022-01-03 15:45:00,-0.6549058279375669,227.0
2022-01-03 16:00:00,-0.6549058279375669,225.0
2022-01-03 16:15:00,-0.6549058279375669,213.0
2022-01-03 16:30:00,-0.6549058279375669,211.0
2022-01-03 16:45:00,-0.6549058279375669,211.0
2022-01-03 17:00:00,-0.6549058279375669,211.0
2022-01-03 17:15:00,-0.6549058279375669,211.0
2022-01-03 17:30:00,-0.6549058279375669,211.0
2022-01-03 17:45:00,-0.6549058279375669,207.0
2022-01-03 18:00:00,-0.6549058279375669,207.0
2022-01-03 18:15:00,-0.6549058279375669,207.0
2022-01-03 18:30:00,-0.6549058279375669,208.0
2022-01-03 18:45:00,-0.6549058279375669,207.0
2022-01-03 19:00:00,-0.6549058279375669,207.0
2022-01-03 19:15:00,-0.6549058279375669,208.0
2022-01-03 19:30:00,-0.6549058279375669,208.0
2022-01-03 19:45:00,-0.6549058279375669,209.0
2022-01-03 20:00:00,-0.6549058279375669,210.0
2022-01-03 20:15:00,-0.6549058279375669,210.0
2022-01-03 20:30:00,-0.6549058279375669,210.0
2022-01-03 20:45:00,-0.6549058279375669,210.0
2022-01-03 21:00:00,-0.6549058279375669,211.0
2022-01-03 21:15:00,-0.6549058279375669,211.0
2022-01-03 21:30:00,-0.6549058279375669,212.0
